App starts at Sun Jun 10 16:12:47 2018

Tracking start as 42440 ms
time(ms),x,y,z
52234,-0.179,0.026,0.778
52266,-0.172,0.021,0.775
52304,-0.178,0.026,0.776
52338,-0.173,0.021,0.781
52369,-0.174,0.027,0.774
52400,-0.177,0.031,0.78
52436,-0.175,0.026,0.779
52469,-0.173,0.033,0.784
52505,-0.172,0.034,0.777
52540,-0.17,0.035,0.776
52571,-0.168,0.029,0.778
52603,-0.169,0.024,0.778
52637,-0.177,0.021,0.777
52667,-0.173,0.02,0.782
52700,-0.174,0.028,0.769
52738,-0.164,0.028,0.773
52771,-0.169,0.025,0.782
52802,-0.17,0.026,0.776
52836,-0.169,0.025,0.77
52869,-0.178,0.024,0.774
52902,-0.174,0.023,0.787
52925,-0.172,0.019,0.776
52955,-0.171,0.025,0.789
52989,-0.175,0.032,0.779
53025,-0.169,0.025,0.78
53056,-0.174,0.029,0.784
53089,-0.173,0.025,0.779
53122,-0.171,0.033,0.779
53155,-0.176,0.026,0.775
53184,-0.168,0.024,0.782
53222,-0.168,0.024,0.78
53258,-0.179,0.033,0.781
53289,-0.165,0.029,0.773
53318,-0.169,0.03,0.775
53354,-0.174,0.025,0.777
53386,-0.174,0.019,0.78
53420,-0.164,0.025,0.785
53458,-0.17,0.024,0.775
53490,-0.16,0.022,0.779
53518,-0.166,0.033,0.78
53554,-0.17,0.026,0.778
53585,-0.167,0.031,0.785
53622,-0.164,0.026,0.786
53656,-0.155,0.033,0.783
53689,-0.169,0.025,0.782
53717,-0.173,0.021,0.78
53752,-0.17,0.028,0.78
53786,-0.159,0.023,0.778
53817,-0.182,0.027,0.78
53856,-0.174,0.025,0.781
53889,-0.172,0.025,0.776
53918,-0.169,0.026,0.782
53955,-0.174,0.02,0.781
53985,-0.162,0.023,0.786
54019,-0.152,0.04,0.791
54056,-0.162,0.016,0.791
54091,-0.175,0.015,0.782
54119,-0.174,0.026,0.791
54154,-0.165,0.026,0.79
54186,-0.166,0.03,0.799
54218,-0.164,0.017,0.794
54254,-0.172,0.035,0.797
54291,-0.159,0.027,0.807
54318,-0.16,0.03,0.796
54350,-0.159,0.025,0.809
54384,-0.157,0.028,0.819
54418,-0.171,0.002,0.826
54456,-0.141,0.034,0.881
54487,-0.143,0.016,0.851
54517,-0.12,0.023,0.881
54550,-0.146,0.031,0.897
54584,-0.134,0.015,0.895
54622,-0.129,0.004,0.915
54653,-0.117,0.007,0.912
54687,-0.102,0.015,0.955
54717,-0.1,0.017,0.957
54749,-0.099,0.037,0.969
54786,-0.099,0.004,1
54819,-0.086,0.017,0.998
54852,-0.085,0.011,1.026
54889,-0.088,0.008,1.054
54915,-0.098,0.026,1.065
54952,-0.08,-0.002,1.069
54986,-0.085,-0.008,1.085
55019,-0.084,0.025,1.131
55051,-0.076,0,1.123
55086,-0.084,-0.022,1.134
55118,-0.091,0,1.141
55149,-0.077,-0.02,1.166
55189,-0.09,-0.027,1.171
55220,-0.092,0.004,1.192
55253,-0.085,-0.005,1.187
55289,-0.088,-0.007,1.187
